# SIMULATION: fluxes
# MODEL_VERSION: 5.0.0.rc1
YEAR	MONTH	DAY	OUT_PREC	 OUT_RAINF	 OUT_SNOWF	 OUT_AIR_TEMP	 OUT_SWDOWN	 OUT_LWDOWN	 OUT_PRESSURE	 OUT_WIND	 OUT_DENSITY	 OUT_REL_HUMID	 OUT_QAIR	 OUT_VP	 OUT_VPD	 OUT_RUNOFF	 OUT_BASEFLOW	 OUT_EVAP	 OUT_SWE	 OUT_SOIL_MOIST_0	 OUT_SOIL_MOIST_1	 OUT_SOIL_MOIST_2	 OUT_ALBEDO	 OUT_SOIL_TEMP_0	 OUT_SOIL_TEMP_1	 OUT_SOIL_TEMP_2
1949	01	01	6.3744	 0.0000	 6.3744	 -10.3430	 29.6475	 229.3617	 83.1681	 4.6200	 1.0955	 76.2307	 0.0014	 0.1878	 0.0682	 0.0011	 0.2618	 0.3978	 5.0662	 1030.1852	 1025.8301	 487.6860	 0.8322	 -8.8676	 -7.0628	 -4.8873
1949	01	02	0.6240	 0.0000	 0.6240	 -14.2719	 42.3521	 198.4163	 82.9127	 2.5600	 1.1087	 67.3781	 0.0008	 0.1101	 0.0759	 0.0000	 0.2614	 0.0704	 5.6111	 1029.6933	 1025.8382	 486.8814	 0.8500	 -13.6911	 -12.5717	 -9.0145
1949	01	03	0.0000	 0.0000	 0.0000	 -17.7351	 56.3544	 170.3795	 82.6836	 0.7400	 1.1206	 71.3224	 0.0007	 0.0869	 0.0473	 0.0000	 0.2610	 0.0083	 5.6429	 1029.2044	 1025.8454	 486.0781	 0.5851	 -17.2207	 -16.0363	 -11.6100
1949	01	04	2.5008	 0.0000	 2.5008	 -16.6201	 30.6175	 207.0612	 82.7602	 2.0500	 1.1166	 80.8952	 0.0009	 0.1134	 0.0304	 0.0000	 0.2605	 -0.0130	 8.0616	 1028.7184	 1025.8515	 485.2762	 0.8500	 -16.4451	 -15.6161	 -11.2953
1949	01	05	9.7992	 0.0000	 9.7992	 -13.7480	 33.8259	 213.4401	 82.9486	 1.8100	 1.1069	 83.3081	 0.0011	 0.1530	 0.0363	 0.0000	 0.2601	 -0.0476	 17.8470	 1028.2353	 1025.8566	 484.4757	 0.8500	 -13.9849	 -13.6426	 -9.8167
1949	01	06	13.7760	 0.0000	 13.7760	 -9.5665	 36.8387	 224.6670	 83.2169	 3.1700	 1.0930	 76.8376	 0.0015	 0.2013	 0.0751	 0.0000	 0.2597	 0.0982	 31.5064	 1027.7551	 1025.8608	 483.6765	 0.8500	 -9.8541	 -9.7118	 -6.8719
1949	01	07	3.9744	 0.1614	 3.8130	 -9.0036	 44.8569	 215.9266	 83.2502	 5.8200	 1.0912	 66.0035	 0.0013	 0.1722	 0.1293	 0.0000	 0.2592	 0.7371	 34.8242	 1027.2776	 1025.8640	 482.8787	 0.8389	 -8.9084	 -8.4320	 -5.9130
1949	01	08	0.0240	 0.0000	 0.0240	 -15.3382	 44.0338	 196.1655	 82.8433	 2.1300	 1.1123	 67.1208	 0.0008	 0.1007	 0.0662	 0.0000	 0.2588	 0.0315	 34.8247	 1026.8030	 1025.8663	 482.0823	 0.8500	 -14.3152	 -12.7471	 -9.1458
1949	01	09	0.0000	 0.0000	 0.0000	 -19.7944	 60.1285	 164.4129	 82.5448	 0.3100	 1.1277	 70.0552	 0.0005	 0.0694	 0.0406	 0.0000	 0.2584	 0.0048	 34.8476	 1026.3312	 1025.8677	 481.2872	 0.5851	 -19.1208	 -17.7136	 -12.8666
1949	01	10	0.0000	 0.0000	 0.0000	 -18.6413	 60.4242	 168.2918	 82.6226	 0.4100	 1.1237	 71.2688	 0.0006	 0.0796	 0.0436	 0.0000	 0.2580	 0.0096	 34.8299	 1025.8621	 1025.8682	 480.4934	 0.5782	 -18.5718	 -17.7664	 -12.9062
