# SIMULATION: fluxes
# MODEL_VERSION: 5.0.0.rc1
YEAR	MONTH	DAY	OUT_PREC	 OUT_RAINF	 OUT_SNOWF	 OUT_AIR_TEMP	 OUT_SWDOWN	 OUT_LWDOWN	 OUT_PRESSURE	 OUT_WIND	 OUT_DENSITY	 OUT_REL_HUMID	 OUT_QAIR	 OUT_VP	 OUT_VPD	 OUT_RUNOFF	 OUT_BASEFLOW	 OUT_EVAP	 OUT_SWE	 OUT_SOIL_MOIST_0	 OUT_SOIL_MOIST_1	 OUT_SOIL_MOIST_2	 OUT_ALBEDO	 OUT_SOIL_TEMP_0	 OUT_SOIL_TEMP_1	 OUT_SOIL_TEMP_2
1949	01	01	7.8504	 0.0000	 7.8504	 -11.6091	 27.5837	 227.7366	 80.1989	 4.6600	 1.0615	 77.8276	 0.0013	 0.1717	 0.0557	 0.0002	 0.3664	 0.2855	 6.4325	 2242.2393	 2242.6312	 1491.6238	 0.8281	 -10.0097	 -8.1069	 -6.5525
1949	01	02	1.3992	 0.0000	 1.3992	 -15.0665	 38.7557	 200.8887	 79.9415	 2.5400	 1.0722	 71.8140	 0.0009	 0.1123	 0.0566	 0.0000	 0.3656	 0.0395	 7.7644	 2241.2224	 2242.6295	 1488.1524	 0.8500	 -14.4955	 -13.4195	 -10.8186
1949	01	03	0.0000	 0.0000	 0.0000	 -17.9773	 53.8114	 173.1761	 79.7205	 0.7800	 1.0814	 73.6906	 0.0007	 0.0884	 0.0408	 0.0000	 0.3647	 0.0012	 7.8097	 2240.2113	 2242.6259	 1484.6892	 0.6082	 -17.5450	 -16.4910	 -13.2851
1949	01	04	4.6008	 0.0000	 4.6008	 -17.3362	 29.3531	 206.3770	 79.7712	 2.0900	 1.0793	 81.7139	 0.0008	 0.1071	 0.0269	 0.0000	 0.3639	 -0.0088	 12.3476	 2239.2060	 2242.6203	 1481.2342	 0.8500	 -17.1505	 -16.3486	 -13.1707
1949	01	05	15.4992	 0.0000	 15.4992	 -14.7153	 33.4373	 210.7289	 79.9684	 1.8100	 1.0711	 83.5990	 0.0011	 0.1404	 0.0324	 0.0000	 0.3630	 -0.0401	 27.8478	 2238.2064	 2242.6129	 1477.7875	 0.8500	 -14.9357	 -14.6060	 -11.7713
1949	01	06	20.7744	 0.0000	 20.7744	 -10.5555	 38.2678	 219.2907	 80.2747	 3.2300	 1.0583	 76.1184	 0.0014	 0.1820	 0.0717	 0.0000	 0.3622	 0.0891	 48.5162	 2237.2124	 2242.6036	 1474.3489	 0.8500	 -10.8759	 -10.7909	 -8.7078
1949	01	07	6.8760	 0.0000	 6.8760	 -10.1882	 44.4951	 212.4576	 80.2997	 5.9800	 1.0572	 67.3102	 0.0012	 0.1597	 0.1094	 0.0000	 0.3614	 0.5986	 54.8911	 2236.2239	 2242.5925	 1470.9184	 0.8500	 -10.0800	 -9.6114	 -7.7606
1949	01	08	0.0504	 0.0000	 0.0504	 -15.3246	 43.8293	 196.6868	 79.9215	 2.0900	 1.0730	 68.0497	 0.0008	 0.1026	 0.0639	 0.0000	 0.3605	 0.0223	 54.9214	 2235.2410	 2242.5796	 1467.4961	 0.8500	 -14.4815	 -13.1438	 -10.5972
1949	01	09	0.0000	 0.0000	 0.0000	 -19.4304	 58.3097	 167.8115	 79.6087	 0.3100	 1.0860	 71.6081	 0.0006	 0.0741	 0.0385	 0.0000	 0.3597	 0.0017	 54.9490	 2234.2635	 2242.5649	 1464.0819	 0.6082	 -18.7878	 -17.4856	 -14.0838
1949	01	10	0.0000	 0.0000	 0.0000	 -18.8530	 58.4000	 170.3417	 79.6531	 0.4600	 1.0842	 73.6241	 0.0006	 0.0814	 0.0380	 0.0000	 0.3588	 0.0045	 54.9337	 2233.2914	 2242.5484	 1460.6758	 0.6025	 -18.7414	 -17.9527	 -14.4588
