# SIMULATION: fluxes
# MODEL_VERSION: 5.0.0.rc1
YEAR	MONTH	DAY	OUT_PREC	 OUT_RAINF	 OUT_SNOWF	 OUT_AIR_TEMP	 OUT_SWDOWN	 OUT_LWDOWN	 OUT_PRESSURE	 OUT_WIND	 OUT_DENSITY	 OUT_REL_HUMID	 OUT_QAIR	 OUT_VP	 OUT_VPD	 OUT_RUNOFF	 OUT_BASEFLOW	 OUT_EVAP	 OUT_SWE	 OUT_SOIL_MOIST_0	 OUT_SOIL_MOIST_1	 OUT_SOIL_MOIST_2	 OUT_ALBEDO	 OUT_SOIL_TEMP_0	 OUT_SOIL_TEMP_1	 OUT_SOIL_TEMP_2
1949	01	01	7.8504	 0.0000	 7.8504	 -9.9947	 34.8707	 223.6148	 83.7936	 4.5700	 1.1024	 72.6410	 0.0014	 0.1822	 0.0849	 0.0005	 0.2618	 0.3130	 6.5099	 1044.7526	 1044.4757	 496.5537	 0.8360	 -8.5543	 -6.7797	 -4.5723
1949	01	02	0.0000	 0.0000	 0.0000	 -14.1873	 59.4416	 176.2698	 83.5281	 2.5800	 1.1168	 62.5328	 0.0007	 0.0983	 0.0965	 0.0000	 0.2614	 0.1328	 6.4465	 1044.2764	 1044.4757	 495.7344	 0.5327	 -13.6623	 -12.5827	 -8.9197
1949	01	03	0.0000	 0.0000	 0.0000	 -18.0884	 55.4026	 171.1058	 83.2803	 0.6900	 1.1302	 71.4072	 0.0006	 0.0846	 0.0444	 0.0000	 0.2610	 0.0198	 6.4136	 1043.8029	 1044.4749	 494.9166	 0.5293	 -17.4200	 -16.0649	 -11.5285
1949	01	04	0.0000	 0.0000	 0.0000	 -16.7580	 39.6011	 195.6878	 83.3684	 2.0200	 1.1254	 81.0537	 0.0008	 0.1122	 0.0297	 0.0000	 0.2605	 0.0327	 6.3631	 1043.3321	 1044.4732	 494.1001	 0.5270	 -16.6089	 -15.7838	 -11.3179
1949	01	05	2.4000	 0.0000	 2.4000	 -13.7991	 33.3680	 214.2769	 83.5567	 1.8100	 1.1152	 84.2358	 0.0011	 0.1544	 0.0341	 0.0000	 0.2601	 -0.0437	 8.6984	 1042.8639	 1044.4706	 493.2850	 0.8500	 -14.0500	 -13.7039	 -9.7597
1949	01	06	7.7496	 0.0087	 7.7409	 -8.7547	 40.0705	 223.6520	 83.8690	 3.1100	 1.0982	 73.7846	 0.0015	 0.2047	 0.0958	 0.0000	 0.2597	 0.0898	 16.3258	 1042.3984	 1044.4671	 492.4713	 0.8500	 -9.1474	 -9.1172	 -6.3234
1949	01	07	6.2256	 0.4684	 5.7572	 -8.6319	 46.4370	 215.4069	 83.8733	 5.6500	 1.0980	 62.0922	 0.0012	 0.1615	 0.1592	 0.0121	 0.2592	 0.6572	 21.7846	 1041.9356	 1044.4628	 491.6589	 0.8332	 -8.5062	 -8.0000	 -5.4865
1949	01	08	0.0000	 0.0000	 0.0000	 -16.5573	 58.9463	 174.5996	 83.3795	 2.1700	 1.1248	 66.3187	 0.0007	 0.0887	 0.0605	 0.0000	 0.2588	 0.0871	 21.7278	 1041.4753	 1044.4576	 490.8480	 0.5327	 -15.2984	 -13.4521	 -9.5711
1949	01	09	0.0000	 0.0000	 0.0000	 -20.6294	 60.9019	 161.7297	 83.1127	 0.3100	 1.1392	 68.9905	 0.0005	 0.0626	 0.0396	 0.0000	 0.2584	 0.0133	 21.7092	 1041.0176	 1044.4515	 490.0384	 0.5293	 -19.9964	 -18.5813	 -13.4138
1949	01	10	0.0000	 0.0000	 0.0000	 -19.2392	 61.3397	 166.0523	 83.2042	 0.3700	 1.1343	 70.2348	 0.0006	 0.0737	 0.0435	 0.0000	 0.2580	 0.0184	 21.6833	 1040.5624	 1044.4446	 489.2302	 0.5270	 -19.1944	 -18.3751	 -13.2593
