# SIMULATION: fluxes
# MODEL_VERSION: 5.0.0.rc1
YEAR	MONTH	DAY	OUT_PREC	 OUT_RAINF	 OUT_SNOWF	 OUT_AIR_TEMP	 OUT_SWDOWN	 OUT_LWDOWN	 OUT_PRESSURE	 OUT_WIND	 OUT_DENSITY	 OUT_REL_HUMID	 OUT_QAIR	 OUT_VP	 OUT_VPD	 OUT_RUNOFF	 OUT_BASEFLOW	 OUT_EVAP	 OUT_SWE	 OUT_SOIL_MOIST_0	 OUT_SOIL_MOIST_1	 OUT_SOIL_MOIST_2	 OUT_ALBEDO	 OUT_SOIL_TEMP_0	 OUT_SOIL_TEMP_1	 OUT_SOIL_TEMP_2
1949	01	01	7.8240	 0.0000	 7.8240	 -10.5651	 29.3781	 229.1599	 82.1224	 4.6400	 1.0827	 76.8317	 0.0014	 0.1858	 0.0647	 0.0004	 0.3664	 0.4246	 6.7019	 680.5198	 680.8435	 452.8444	 0.8389	 -9.0789	 -7.2831	 -5.6766
1949	01	02	1.0512	 0.0000	 1.0512	 -14.2125	 41.4950	 200.1289	 81.8734	 2.5400	 1.0946	 69.3778	 0.0009	 0.1156	 0.0694	 0.0000	 0.3656	 0.0664	 7.6743	 680.2123	 680.8426	 451.7905	 0.8500	 -13.6632	 -12.6022	 -9.9479
1949	01	03	0.0000	 0.0000	 0.0000	 -17.3486	 53.6919	 175.3169	 81.6560	 0.7300	 1.1049	 74.0004	 0.0007	 0.0945	 0.0425	 0.0000	 0.3647	 0.0061	 7.7248	 679.9065	 680.8411	 450.7391	 0.5739	 -16.8497	 -15.7208	 -12.4522
1949	01	04	4.8000	 0.0000	 4.8000	 -16.4253	 28.7242	 210.3277	 81.7221	 2.0400	 1.1018	 82.3591	 0.0009	 0.1178	 0.0282	 0.0000	 0.3639	 -0.0112	 12.4641	 679.6024	 680.8391	 449.6902	 0.8500	 -16.2650	 -15.4838	 -12.2619
1949	01	05	15.6744	 0.0000	 15.6744	 -13.6539	 32.9326	 215.1687	 81.9130	 1.7600	 1.0927	 84.3762	 0.0012	 0.1565	 0.0339	 0.0000	 0.3630	 -0.0505	 28.1530	 679.3001	 680.8364	 448.6438	 0.8500	 -13.8891	 -13.5757	 -10.7296
1949	01	06	19.5240	 0.0000	 19.5240	 -9.3041	 38.8222	 223.1831	 82.2056	 3.1400	 1.0787	 75.4832	 0.0015	 0.2012	 0.0828	 0.0000	 0.3622	 0.1427	 47.5194	 678.9994	 680.8333	 447.5999	 0.8500	 -9.6312	 -9.5621	 -7.5066
1949	01	07	5.6496	 0.1617	 5.4879	 -9.3309	 45.3815	 214.3976	 82.2017	 5.8100	 1.0788	 65.9458	 0.0013	 0.1671	 0.1258	 0.0000	 0.3614	 0.8830	 52.3444	 678.7004	 680.8295	 446.5584	 0.8443	 -9.1902	 -8.6866	 -6.8036
1949	01	08	0.0240	 0.0000	 0.0240	 -15.1497	 43.6341	 197.6003	 81.8090	 2.1400	 1.0976	 68.2927	 0.0008	 0.1050	 0.0639	 0.0000	 0.3605	 0.0271	 52.3440	 678.4031	 680.8252	 445.5194	 0.8500	 -14.1932	 -12.7206	 -10.0429
1949	01	09	0.0000	 0.0000	 0.0000	 -19.0752	 58.8370	 168.3344	 81.5338	 0.2800	 1.1107	 71.5884	 0.0006	 0.0766	 0.0402	 0.0000	 0.3597	 0.0042	 52.3761	 678.1074	 680.8204	 444.4829	 0.5739	 -18.4545	 -17.1496	 -13.5995
1949	01	10	0.0000	 0.0000	 0.0000	 -18.2680	 58.9108	 171.5433	 81.5908	 0.4100	 1.1080	 73.3922	 0.0007	 0.0857	 0.0407	 0.0000	 0.3588	 0.0094	 52.3603	 677.8134	 680.8151	 443.4488	 0.5639	 -18.1732	 -17.3851	 -13.7887
