# SIMULATION: fluxes
# MODEL_VERSION: 5.0.0.rc1
YEAR	MONTH	DAY	OUT_PREC	 OUT_RAINF	 OUT_SNOWF	 OUT_AIR_TEMP	 OUT_SWDOWN	 OUT_LWDOWN	 OUT_PRESSURE	 OUT_WIND	 OUT_DENSITY	 OUT_REL_HUMID	 OUT_QAIR	 OUT_VP	 OUT_VPD	 OUT_RUNOFF	 OUT_BASEFLOW	 OUT_EVAP	 OUT_SWE	 OUT_SOIL_MOIST_0	 OUT_SOIL_MOIST_1	 OUT_SOIL_MOIST_2	 OUT_ALBEDO	 OUT_SOIL_TEMP_0	 OUT_SOIL_TEMP_1	 OUT_SOIL_TEMP_2
1949	01	01	4.0488	 0.0659	 3.9829	 -9.5276	 39.4382	 220.0001	 81.8264	 4.4900	 1.0746	 69.7493	 0.0014	 0.1799	 0.1017	 0.0022	 0.3664	 0.5782	 2.1811	 1084.4907	 1075.4564	 715.2995	 0.8225	 -8.1585	 -6.5052	 -5.0305
1949	01	02	0.0000	 0.0000	 0.0000	 -13.4942	 61.6145	 177.1149	 81.5482	 2.6600	 1.0875	 59.2600	 0.0007	 0.0952	 0.1210	 0.0000	 0.3656	 0.1699	 2.0971	 1083.9473	 1075.4741	 713.6349	 0.5913	 -13.1274	 -12.2580	 -9.6501
1949	01	03	0.0000	 0.0000	 0.0000	 -18.0142	 45.3297	 185.1597	 81.2368	 0.6400	 1.1020	 76.5877	 0.0007	 0.0935	 0.0328	 0.0000	 0.3647	 0.0077	 2.0773	 1083.4074	 1075.4907	 711.9741	 0.5315	 -17.0955	 -15.5492	 -12.2930
1949	01	04	0.0000	 0.0000	 0.0000	 -17.1740	 26.9716	 210.8265	 81.2977	 2.0100	 1.0992	 85.9480	 0.0009	 0.1151	 0.0200	 0.0000	 0.3639	 0.0210	 2.0507	 1082.8709	 1075.5060	 710.3173	 0.5309	 -17.0058	 -16.1857	 -12.8042
1949	01	05	0.4488	 0.0000	 0.4488	 -14.2423	 31.2141	 216.4266	 81.5036	 1.8800	 1.0897	 87.9445	 0.0012	 0.1557	 0.0245	 0.0000	 0.3630	 0.0038	 2.3700	 1082.3377	 1075.5203	 708.6645	 0.8500	 -14.5294	 -14.2385	 -11.2406
1949	01	06	5.0496	 0.4632	 4.5864	 -7.1883	 46.1070	 222.1899	 81.9807	 3.0900	 1.0674	 66.9764	 0.0015	 0.2032	 0.1560	 0.0253	 0.3622	 0.3651	 6.3865	 1081.8078	 1075.5333	 707.0156	 0.8290	 -7.9055	 -8.2715	 -6.4489
1949	01	07	2.7744	 0.3302	 2.4442	 -8.3147	 48.2873	 215.1669	 81.9015	 5.5000	 1.0711	 57.1513	 0.0011	 0.1441	 0.2004	 0.0198	 0.3614	 0.6706	 8.4276	 1081.2812	 1075.5453	 705.3706	 0.8237	 -8.0887	 -7.5392	 -5.8609
1949	01	08	0.0000	 0.0000	 0.0000	 -17.8422	 57.4027	 174.1664	 81.2481	 2.1900	 1.1015	 67.7383	 0.0006	 0.0816	 0.0490	 0.0000	 0.3605	 0.0414	 8.4018	 1080.7579	 1075.5562	 703.7295	 0.6498	 -16.3166	 -14.2141	 -11.2209
1949	01	09	0.0000	 0.0000	 0.0000	 -21.2271	 58.9961	 163.6374	 81.0021	 0.3600	 1.1128	 71.7610	 0.0005	 0.0624	 0.0325	 0.0000	 0.3597	 0.0013	 8.3909	 1080.2377	 1075.5660	 702.0923	 0.6489	 -20.6632	 -19.3282	 -15.3276
1949	01	10	0.0000	 0.0000	 0.0000	 -19.6507	 61.0988	 166.5952	 81.1165	 0.3200	 1.1076	 71.7696	 0.0006	 0.0729	 0.0388	 0.0000	 0.3588	 0.0023	 8.3781	 1079.7207	 1075.5747	 700.4590	 0.6483	 -19.6512	 -18.8969	 -14.9813
